Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
16.001,23.02,35.61,1005.97,0.8730,0.4104,-1.1184,134.3282,-96.0763,-123.1679
16.101,23.03,35.62,1005.99,0.4717,0.2192,-0.8315,-72.1221,19.4886,0.2290
16.201,23.02,35.59,1005.97,0.5986,0.3445,-0.7585,12.9924,-37.5115,22.6489
16.301,23.03,35.60,1005.96,0.4390,-0.2576,-0.8047,-60.2290,-98.6183,56.5954
16.401,23.03,35.57,1005.97,0.7043,0.1958,-1.2219,104.5191,14.1679,25.1145
16.501,23.03,35.54,1005.97,0.4929,0.0422,-0.8354,-62.4580,-32.4809,36.8779
16.601,23.03,35.60,1005.94,0.5994,-0.1311,-1.0020,28.2061,-46.5038,-6.6641
16.701,23.03,35.70,1005.97,0.6167,0.1511,-1.2510,19.5496,10.2137,-27.7710
16.801,23.04,35.82,1005.97,0.3918,0.2095,-0.9219,-77.4580,40.7710,7.8168
16.901,23.05,35.87,1006.01,0.4736,-0.2102,-0.9329,-94.6031,-112.0687,14.4351
17.001,23.05,35.86,1006.01,0.6946,0.0473,-0.9358,51.1756,109.5573,0.6107
17.101,23.05,35.85,1005.97,0.2231,-0.0234,-0.8713,37.3282,-38.6565,-27.6260
17.201,23.04,35.83,1005.99,0.5449,0.0178,-1.2410,-19.5420,0.9695,-7.9237
17.301,23.04,35.81,1005.95,0.2104,-0.0981,-1.0271,-20.2137,50.0305,22.7634
17.401,23.04,35.80,1005.95,0.5815,0.0395,-1.0840,2.0992,-39.6870,-21.2824
17.501,23.05,35.77,1005.97,0.5227,0.0178,-0.9719,-4.9847,58.0534,0.2443
17.601,23.05,35.75,1005.98,0.4802,-0.0127,-0.8928,-3.6489,-13.9542,-9.1679
17.701,23.05,35.73,1005.98,0.5083,-0.0390,-1.0007,-3.7328,32.9847,6.0763
17.801,23.05,35.72,1005.99,0.5967,-0.0881,-0.8784,47.6260,26.0534,-15.9924
17.901,23.05,35.72,1005.97,0.4807,0.1768,-0.8599,-44.9466,55.5038,30.0534
18.001,23.05,35.73,1005.98,0.7803,-0.1121,-1.0203,-17.2290,2.1298,-19.6794
18.101,23.05,35.75,1005.97,0.7222,-0.0673,-0.7751,-15.4427,67.5649,-20.2595
18.201,23.06,35.77,1005.97,0.5791,0.0654,-0.7966,21.8473,-31.9618,-17.0916
18.301,23.07,35.78,1005.98,0.7656,-0.0168,-1.0056,-24.6641,4.0382,8.8473
18.401,23.07,35.78,1005.99,0.6875,-0.0708,-0.7996,12.8015,32.9542,-7.1527
18.501,23.07,35.77,1005.97,0.6624,0.0175,-0.8372,13.3511,11.5496,-22.2290
18.601,23.07,35.74,1005.96,0.6885,-0.0144,-0.7700,-26.1756,28.7252,0.0916
18.701,23.07,35.71,1005.99,0.8286,0.0122,-0.6838,-7.8244,20.4504,14.3893
18.801,23.07,35.68,1006.00,0.7585,-0.1160,-0.5916,1.4504,-9.4427,-11.0611
18.901,23.07,35.65,1005.98,0.6235,0.1602,-0.9431,51.9618,-2.9084,-1.0382
19.001,23.07,35.62,1005.98,0.7798,-0.0825,-0.7864,-104.7786,-15.3588,61.2214
19.101,23.07,35.58,1005.97,0.8298,-0.2622,-0.7498,30.5344,-14.4427,3.0458
19.201,23.07,35.56,1005.97,0.7886,0.1162,-0.7688,23.4351,35.3053,-50.9847
19.301,23.07,35.54,1005.98,1.4377,-0.0419,-1.3035,-124.8702,80.7557,250.1298
