Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
5.989,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9016,-0.3953,-0.1541,33.8702,-2.2061,-3.1908,0.996
5.995,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9021,-0.3799,-0.1362,33.6336,-2.0992,-4.2595,0.988
6.001,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.8960,-0.3701,-0.1348,33.3511,-2.1756,-5.2595,0.979
6.007,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9023,-0.3423,-0.1067,33.0076,-2.0916,-6.3893,0.971
6.013,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.8987,-0.3271,-0.0900,32.5649,-1.7786,-7.7634,0.961
6.019,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9043,-0.3079,-0.0883,31.2366,-1.6947,-8.8931,0.959
6.025,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9050,-0.3149,-0.0854,29.6565,-1.2137,-10.0458,0.962
6.031,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9060,-0.3186,-0.0764,27.6260,-0.8473,-11.5802,0.963
6.037,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9116,-0.3108,-0.0817,25.3969,-0.3511,-12.7176,0.967
6.043,28.79,41.29,1000.00,0.000000,0.000000,0.00,0,0,0.9287,-0.3257,-0.0795,22.1221,0.1221,-13.6031,0.987
6.174,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9099,-0.3059,-0.1719,3.4504,-2.5725,-12.7557,0.975
6.179,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9155,-0.3030,-0.1775,4.0840,-3.0305,-11.9237,0.981
6.185,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9231,-0.3015,-0.1794,5.0458,-2.9847,-10.7099,0.988
6.191,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9214,-0.3042,-0.1848,6.2595,-3.3206,-9.7252,0.988
6.197,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9238,-0.3054,-0.1821,7.1450,-3.5802,-8.7863,0.990
6.203,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9358,-0.3003,-0.1868,7.9847,-4.1374,-7.8397,1.000
6.209,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9360,-0.2900,-0.1948,8.5496,-4.4198,-6.7405,0.999
6.215,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9426,-0.2705,-0.1914,8.7939,-4.6031,-5.7328,0.999
6.221,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9480,-0.2637,-0.1941,9.5802,-5.2595,-4.6794,1.003
6.227,28.79,41.29,999.99,0.000000,0.000000,0.00,0,0,0.9575,-0.2532,-0.1958,9.8092,-5.4656,-3.5649,1.010
6.328,28.76,41.28,999.91,0.000000,0.000000,0.00,0,0,0.9651,-0.2727,-0.2317,-4.7252,-3.1298,4.5344,1.029
6.334,28.76,41.28,999.91,0.000000,0.000000,0.00,0,0,0.9648,-0.2695,-0.2327,-5.7176,-2.4885,4.7176,1.028
6.341,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0313,-0.3018,-0.2488,2.4122,2.9771,6.7176,1.103
6.415,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0227,-0.3164,-0.2554,2.2290,3.7863,6.8702,1.101
6.421,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0198,-0.3093,-0.2473,1.7557,4.5954,6.8550,1.094
6.427,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0154,-0.3096,-0.2505,1.2519,5.7634,7.3206,1.091
6.433,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0107,-0.3069,-0.2588,1.1985,6.7328,7.3817,1.088
6.439,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0161,-0.3081,-0.2502,2.0458,7.7252,7.8168,1.091
6.445,28.79,41.32,999.96,0.000000,0.000000,0.00,0,0,1.0210,-0.2893,-0.2368,2.9313,8.6412,7.8015,1.087
6.451,28.79,41.32,999.95,0.000000,0.000000,0.00,0,0,1.0339,-0.2791,-0.1968,9.1374,21.0916,3.6794,1.089
6.578,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9653,-0.2917,-0.1824,5.8779,26.7786,4.7557,1.025
6.584,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9661,-0.2988,-0.1816,7.1374,26.7863,5.5115,1.027
6.589,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9739,-0.3025,-0.1707,8.1298,26.7481,5.7786,1.034
6.595,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9734,-0.3003,-0.1687,8.9924,26.6947,6.2595,1.033
6.601,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9836,-0.3052,-0.1724,9.6260,26.7023,6.2443,1.044
6.607,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9890,-0.3040,-0.1641,9.8168,26.1832,6.5878,1.048
6.613,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9849,-0.3022,-0.1584,9.5267,26.2443,6.8015,1.042
6.619,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9875,-0.3015,-0.1521,8.9771,25.8931,7.3817,1.044
6.625,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9873,-0.3013,-0.1426,8.5420,25.3740,7.7481,1.042
6.631,28.79,41.29,999.96,0.000000,0.000000,0.00,0,0,0.9795,-0.3042,-0.1492,7.5573,25.3359,8.0687,1.036
6.874,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9568,-0.3306,-0.0429,7.7710,-4.5038,-5.5496,1.013
6.880,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9709,-0.3293,-0.0393,6.3893,-4.5649,-6.3664,1.026
6.885,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9968,-0.3201,-0.0432,5.5420,-4.2214,-6.7328,1.048
6.892,28.78,41.29,999.92,0.000000,0.000000,0.00,0,0,0.8030,-0.5928,-0.1577,16.8397,13.3817,16.1298,1.010
7.035,28.78,41.29,999.92,0.000000,0.000000,0.00,0,0,0.8479,-0.4348,-0.0319,17.9771,13.7557,14.4122,0.953
